CODE_INSEE;COMMUNE;ANNEE;HOMMES;FEMMES;INDETERMINE;DOMICILE;HOPITAL;CLINIQUE;MAISON_RETRAITE;VOIE_PUBLIQUE;AUTRES;MOINS_1_RENNES;MOINS_1_AUTRE;1_60_RENNES;1_60_AUTRE;PLUS_60_RENNES;PLUS_60_AUTRE
35238;Rennes;1987;1370;990;3;;;;;;;;;;;;
35238;Rennes;1994;1326;969;21;;;;;;;;;;;;
35238;Rennes;1995;1358;997;19;;;;;;;;;;;;
35238;Rennes;1998;1391;1102;0;351;1752;224;118;12;36;11;38;219;413;758;1054
35238;Rennes;2006;1390;1128;0;406;1586;291;202;19;14;9;33;209;394;870;1003
35238;Rennes;2007;1388;1089;0;377;1565;298;195;10;32;7;40;217;363;849;1001
35238;Rennes;2017;1454;1329;0;521;1766;257;196;14;29;7;37;188;365;973;1213
35238;Rennes;2019;1614;1348;0;542;1706;333;345;17;19;11;30;177;414;1045;1285
35238;Rennes;2021;1634;1357;0;610;1753;295;374;13;26;11;31;191;317;1106;1411
35238;Rennes;1990;1311;972;7;;;;;;;;;;;;
35238;Rennes;1993;1388;1019;8;;;;;;;;;;;;
35238;Rennes;1997;1406;1052;3;343;1685;223;138;14;58;10;58;216;419;780;978
35238;Rennes;2002;1462;1146;0;382;1706;288;178;16;38;10;53;240;413;857;1035
35238;Rennes;2004;1384;1076;0;395;1578;295;147;7;38;9;39;212;368;788;1044
35238;Rennes;2008;1368;1118;0;357;1616;304;169;10;30;13;24;215;392;801;1041
35238;Rennes;2013;1443;1169;0;375;1664;271;261;10;31;9;38;175;362;931;1097
35238;Rennes;2022;1634;1422;0;511;1870;315;322;14;24;6;25;125;352;1089;1459
35238;Rennes;1986;415;332;1;;;;;;;;;;;;
35238;Rennes;1989;1270;945;9;;;;;;;;;;;;
35238;Rennes;2001;1406;1120;0;378;1665;270;165;18;30;12;31;215;397;822;1049
35238;Rennes;2003;1433;1102;0;359;1671;260;196;5;44;10;48;216;402;860;999
35238;Rennes;2005;1394;1056;0;370;1585;277;169;19;30;13;25;228;393;811;980
35238;Rennes;2010;1389;1162;0;379;1615;304;204;18;31;15;43;190;366;849;1088
35238;Rennes;2014;1405;1145;0;352;1659;267;231;8;33;6;35;172;340;925;1072
35238;Rennes;2015;1465;1276;0;522;1772;292;116;14;25;8;36;189;400;966;1142
35238;Rennes;2020;1564;1334;1;500;1684;317;364;13;21;8;26;182;348;1047;1288
35238;Rennes;1991;1406;969;13;;;;;;;;;;;;
35238;Rennes;1996;1372;989;0;374;1612;198;123;18;36;13;37;206;377;785;943
35238;Rennes;2000;1354;1073;0;423;1532;254;168;15;35;15;44;213;393;800;962
35238;Rennes;2009;1480;1124;0;354;1699;317;193;9;32;11;44;204;396;843;1106
35238;Rennes;2011;1344;1159;0;373;1613;272;210;12;23;15;33;179;397;855;1024
35238;Rennes;2012;1514;1256;0;436;1738;285;261;19;31;9;44;178;354;1012;1173
35238;Rennes;2016;1516;1233;0;420;1879;264;150;8;28;9;31;158;364;962;1225
35238;Rennes;2018;1573;1369;0;529;1718;295;363;13;24;9;28;166;388;1048;1303
35238;Rennes;2023;1582;1399;0;537;1972;327;187;16;30;13;31;119;318;1106;1388
35238;Rennes;1988;1332;963;2;;;;;;;;;;;;
35238;Rennes;1992;1382;1003;23;;;;;;;;;;;;
35238;Rennes;1999;1438;1135;0;421;1683;239;170;20;40;12;41;223;395;838;1064
35238;Rennes;2024;1600;1460;0;545;1943;346;150;18;27;12;40;131;350;1031;1380
